Source,X206Pb.204Pb,X207Pb.204Pb,X208Pb.204Pb,X207Pb.206Pb,X208Pb.206Pb,X208Pb.207Pb,X206Pb.207Pb,STD206Pb.204Pb,STD207Pb.204Pb,STD208Pb.204Pb,STD207Pb.206Pb,STD208Pb.206Pb,STD208Pb.207Pb,STD206Pb.207Pb,n
Perigord-Limousin,18.4903333333333,15.6666666666667,38.65,0.847288874380021,2.09028117365902,2.46702447760327,1.1802357853149,0.0236713610367749,0.0353459097114975,0.0548361194834185,0.00083645896455739,0.000404887986055294,0.00222347974945148,0.00116570424138018,3
Tarn,18.4616,15.6624,38.5496,0.848378364005479,2.08809475260773,2.46128198586979,1.17872125095775,0.028377808231081,0.0145017240354378,0.0940494550755096,0.00120176932794781,0.00268376437498653,0.0049209353172263,0.00167098166343263,5
Haute-Loire,18.473,15.682,38.7585,0.848914530761713,2.09811618534676,2.47153137848099,1.17797632278292,0.00282842712474714,0.026870057685089,0.00212132034355972,0.00132457991661856,0.000206411973475268,0.00409953260851274,0.00183802223059145,2
Cevennes Nord,18.339,15.682125,38.575625,0.855135622948711,2.10349416770434,2.45984743519332,1.16942259481229,0.0675320029954052,0.00970180395596599,0.0595721351448341,0.00352753974670155,0.00660074005378779,0.00396213470023943,0.00483353832418688,8
Cevennes Sud,18.47225,15.6805,38.58425,0.848868832883418,2.08876760128409,2.46065215145682,1.17804000892968,0.0206135068987951,0.00754983443527021,0.073654033607582,0.00117860421716858,0.00257814980929157,0.00481689294084159,0.0016374966879173,4
Indre,18.499,15.6396666666667,38.5886666666667,0.845433493343967,2.0859878432916,2.46735846767321,1.18282599014329,0.0153948043183393,0.0087368949480537,0.0295014123955696,0.000872002503186313,0.00266961922238374,0.000622350767102522,0.00121937421978341,3
Sardigna,18.487,15.6865,38.822,0.848508333333333,2.09997,2.47489597536822,1.17853890391535,0.0121819538662726,0.0152151240547032,0.0490591479746626,0.000264757750909513,0.0012654959502109,0.000801407534321716,0.000367715958005766,6
Duhram,18.4571666666667,15.6518,38.5271166666667,0.848011666666667,2.087385,2.46151110754148,1.17923468665679,0.0599246749400167,0.0238036131711134,0.0976501391021378,0.00202760367593536,0.0026576587440828,0.00330667346549477,0.00282423849500732,6
Cheshire,18.441,15.6286375,38.42415,0.8474975,2.08362875,2.45856874668694,1.17994853314328,0.0391225181777885,0.0187036999777358,0.0634777351292788,0.00167739381184026,0.00306164025833022,0.0018415183344507,0.00233830285010617,8
Shropshire,18.4628,15.6656,38.57242,0.848502,2.0892,2.46223154371331,1.17855469995239,0.0684448683248054,0.0244926519593123,0.127467925377328,0.00233148450563156,0.00248407930630247,0.00487136359364831,0.00322756983057012,5
